UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 18:12 ?        00:00:02 /sbin/init splash
root           2       0  0 18:12 ?        00:00:00 [kthreadd]
root           3       2  0 18:12 ?        00:00:00 [rcu_gp]
root           4       2  0 18:12 ?        00:00:00 [rcu_par_gp]
root           5       2  0 18:12 ?        00:00:00 [slub_flushwq]
root           6       2  0 18:12 ?        00:00:00 [netns]
root           7       2  0 18:12 ?        00:00:00 [kworker/0:0-events]
root           8       2  0 18:12 ?        00:00:00 [kworker/0:0H-kblockd]
root          10       2  0 18:12 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 18:12 ?        00:00:00 [rcu_tasks_kthread]
root          12       2  0 18:12 ?        00:00:00 [rcu_tasks_rude_kthread]
root          13       2  0 18:12 ?        00:00:00 [rcu_tasks_trace_kthread]
root          14       2  0 18:12 ?        00:00:00 [ksoftirqd/0]
root          15       2  0 18:12 ?        00:00:01 [rcu_preempt]
root          16       2  0 18:12 ?        00:00:00 [migration/0]
root          17       2  0 18:12 ?        00:00:00 [idle_inject/0]
root          19       2  0 18:12 ?        00:00:00 [cpuhp/0]
root          20       2  0 18:12 ?        00:00:00 [cpuhp/1]
root          21       2  0 18:12 ?        00:00:00 [idle_inject/1]
root          22       2  0 18:12 ?        00:00:00 [migration/1]
root          23       2  0 18:12 ?        00:00:00 [ksoftirqd/1]
root          25       2  0 18:12 ?        00:00:00 [kworker/1:0H-events_highpri]
root          26       2  0 18:12 ?        00:00:00 [cpuhp/2]
root          27       2  0 18:12 ?        00:00:00 [idle_inject/2]
root          28       2  0 18:12 ?        00:00:00 [migration/2]
root          29       2  0 18:12 ?        00:00:00 [ksoftirqd/2]
root          31       2  0 18:12 ?        00:00:00 [kworker/2:0H-events_highpri]
root          32       2  0 18:12 ?        00:00:00 [cpuhp/3]
root          33       2  0 18:12 ?        00:00:00 [idle_inject/3]
root          34       2  0 18:12 ?        00:00:00 [migration/3]
root          35       2  0 18:12 ?        00:00:00 [ksoftirqd/3]
root          37       2  0 18:12 ?        00:00:00 [kworker/3:0H-events_highpri]
root          38       2  0 18:12 ?        00:00:00 [kdevtmpfs]
root          39       2  0 18:12 ?        00:00:00 [inet_frag_wq]
root          40       2  0 18:12 ?        00:00:00 [kauditd]
root          41       2  0 18:12 ?        00:00:00 [khungtaskd]
root          42       2  0 18:12 ?        00:00:00 [oom_reaper]
root          44       2  0 18:12 ?        00:00:00 [writeback]
root          46       2  0 18:12 ?        00:00:00 [kcompactd0]
root          47       2  0 18:12 ?        00:00:00 [ksmd]
root          48       2  0 18:12 ?        00:00:00 [khugepaged]
root          49       2  0 18:12 ?        00:00:00 [kintegrityd]
root          50       2  0 18:12 ?        00:00:00 [kblockd]
root          51       2  0 18:12 ?        00:00:00 [blkcg_punt_bio]
root          52       2  0 18:12 ?        00:00:00 [kworker/3:1-cgroup_destroy]
root          53       2  0 18:12 ?        00:00:00 [tpm_dev_wq]
root          54       2  0 18:12 ?        00:00:00 [ata_sff]
root          55       2  0 18:12 ?        00:00:00 [md]
root          56       2  0 18:12 ?        00:00:00 [edac-poller]
root          57       2  0 18:12 ?        00:00:00 [devfreq_wq]
root          58       2  0 18:12 ?        00:00:00 [kworker/2:1-mm_percpu_wq]
root          59       2  0 18:12 ?        00:00:00 [watchdogd]
root          60       2  0 18:12 ?        00:00:00 [kworker/2:1H-kblockd]
root          61       2  0 18:12 ?        00:00:00 [kswapd0]
root          62       2  0 18:12 ?        00:00:00 [ecryptfs-kthread]
root          68       2  0 18:12 ?        00:00:00 [kthrotld]
root          74       2  0 18:12 ?        00:00:00 [acpi_thermal_pm]
root          75       2  0 18:12 ?        00:00:00 [xenbus_probe]
root          76       2  0 18:12 ?        00:00:00 [vfio-irqfd-clea]
root          77       2  0 18:12 ?        00:00:01 [kworker/u8:3-events_power_efficient]
root          79       2  0 18:12 ?        00:00:00 [mld]
root          80       2  0 18:12 ?        00:00:00 [ipv6_addrconf]
root          85       2  0 18:12 ?        00:00:00 [kstrp]
root          91       2  0 18:12 ?        00:00:00 [zswap-shrink]
root          92       2  0 18:12 ?        00:00:00 [kworker/u9:0]
root         137       2  0 18:12 ?        00:00:00 [charger_manager]
root         160       2  0 18:12 ?        00:00:00 [kworker/1:1H-kblockd]
root         186       2  0 18:12 ?        00:00:00 [kworker/3:1H-kblockd]
root         187       2  0 18:12 ?        00:00:00 [kworker/1:2-events]
root         188       2  0 18:12 ?        00:00:00 [scsi_eh_0]
root         189       2  0 18:12 ?        00:00:00 [scsi_tmf_0]
root         190       2  0 18:12 ?        00:00:00 [scsi_eh_1]
root         191       2  0 18:12 ?        00:00:00 [scsi_tmf_1]
root         192       2  0 18:12 ?        00:00:00 [scsi_eh_2]
root         193       2  0 18:12 ?        00:00:00 [scsi_tmf_2]
root         194       2  0 18:12 ?        00:00:00 [scsi_eh_3]
root         195       2  0 18:12 ?        00:00:00 [scsi_tmf_3]
root         196       2  0 18:12 ?        00:00:00 [scsi_eh_4]
root         197       2  0 18:12 ?        00:00:00 [scsi_tmf_4]
root         198       2  0 18:12 ?        00:00:00 [scsi_eh_5]
root         199       2  0 18:12 ?        00:00:00 [scsi_tmf_5]
root         200       2  0 18:12 ?        00:00:01 [kworker/u8:4-events_unbound]
root         201       2  0 18:12 ?        00:00:00 [kworker/u8:5-flush-8:0]
root         204       2  0 18:12 ?        00:00:00 [kworker/2:3-events]
root         206       2  0 18:12 ?        00:00:00 [kworker/0:1H-kblockd]
root         233       2  0 18:12 ?        00:00:00 [jbd2/sda2-8]
root         234       2  0 18:12 ?        00:00:00 [ext4-rsv-conver]
root         247       2  0 18:12 ?        00:00:00 [hwrng]
root         275       1  0 18:12 ?        00:00:00 /lib/systemd/systemd-journald
root         307       1  0 18:12 ?        00:00:00 /lib/systemd/systemd-udevd
root         308       2  0 18:12 ?        00:00:00 [kworker/0:3-cgroup_destroy]
root         321       2  0 18:12 ?        00:00:00 [kworker/3:3-events]
systemd+     488       1  0 18:12 ?        00:00:02 /lib/systemd/systemd-oomd
systemd+     489       1  0 18:12 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     490       1  0 18:12 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         531       1  0 18:12 ?        00:00:00 /usr/libexec/accounts-daemon
root         532       1  0 18:12 ?        00:00:00 /usr/sbin/acpid
avahi        535       1  0 18:12 ?        00:00:00 avahi-daemon: running [mcelo-Standard-PC-Q35-ICH9-2009.local]
root         536       1  0 18:12 ?        00:00:00 /usr/sbin/cron -f -P
message+     538       1  0 18:12 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         540       1  0 18:12 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         545       1  0 18:12 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         548       1  0 18:12 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         550       1  0 18:12 ?        00:00:00 /usr/libexec/polkitd --no-debug
